公司,站代號,刷卡自助,GoStation,洗車類別,無鉛92,無鉛95,無鉛98,超柴
台灣中油,D2161,1,1,,1,1,1,0
台灣中油,D2162,1,0,,1,1,1,0
台灣中油,D2163,1,0,,1,1,1,0
台灣中油,D2164,1,0,,1,1,1,0
台灣中油,D2165,1,0,,1,1,1,0
台灣中油,D2167,0,0,,1,1,1,0
台灣中油,D2168,1,0,,1,1,1,0
台灣中油,D2169,1,0,,1,1,1,1
台灣中油,D216A,0,0,,1,1,0,0
台灣中油,D216F,1,0,,1,1,1,0
台灣中油,D216H,1,0,精緻手工,1,1,1,1
台灣中油,D216J,1,0,精緻手工,1,1,1,1
台灣中油,D216K,1,0,精緻手工,1,1,1,1
台灣中油,D216L,1,0,精緻手工,1,1,1,1
台灣中油,D216R,1,0,精緻手工,1,1,1,1
台灣中油,D216U,1,1,精緻手工,1,1,1,1
台灣中油,D216V,1,0,精緻手工,1,1,1,1
台灣中油,D216Y,0,0,精緻手工,1,1,0,1
台灣中油,D2170,0,0,精緻手工,1,1,1,1
台灣中油,D2171,0,1,,1,1,1,0
台灣中油,D2172,1,1,精緻手工,1,1,1,0
台灣中油,D2173,1,0,,1,1,1,0
台灣中油,D2174,1,1,精緻手工,1,1,1,1
台灣中油,D2176,1,0,,1,1,1,0
台灣中油,D2177,1,0,洗車機,1,1,1,1
台灣中油,D2178,1,0,,1,1,1,0
台灣中油,D2179,1,1,精緻手工,1,1,1,1
台灣中油,D217F,1,0,精緻手工,1,1,1,1
台灣中油,D217J,0,0,,1,1,1,1
台灣中油,D217K,1,0,,1,1,1,1
台灣中油,D234C,1,0,洗車機,1,1,1,1
台灣中油,D234D,0,0,,1,1,1,0
台灣中油,D234F,0,0,,1,1,1,1
台灣中油,D234G,1,0,洗車機,1,1,1,1
台灣中油,D234H,1,0,自助投幣式 ,1,1,1,1
台灣中油,D234M,1,0,洗車機,1,1,1,1
台灣中油,D234N,1,0,洗車機,1,1,1,1
台灣中油,D234T,1,0,自助投幣式 ,1,1,1,1
台灣中油,D234U,0,0,,1,0,0,1
台灣中油,D234V,0,0,,1,1,1,1
台灣中油,D234W,1,0,洗車機,1,1,1,1
台灣中油,D234X,1,0,洗車機,1,1,1,1
台灣中油,D234Y,0,0,自助投幣式 ,1,1,1,1
台灣中油,D234Z,1,0,,1,1,1,1
台灣中油,D235C,1,0,洗車機,1,1,1,1
台灣中油,D235D,1,0,洗車機,1,1,1,1
台灣中油,D235E,0,0,洗車機、自助投幣,1,1,1,1
台灣中油,D235F,0,0,洗車機,1,1,1,1
台灣中油,D235G,1,0,,1,1,1,1
台灣中油,D235H,1,0,,1,1,1,1
台灣中油,D235J,1,0,,1,1,1,1
台灣中油,D235K,1,0,,1,1,1,1
台灣中油,D235L,0,0,,1,1,1,1
台灣中油,D235M,1,0,自助投幣式 ,1,1,1,1
台灣中油,D235N,0,0,,1,1,1,1
台灣中油,D235P,0,0,,1,1,1,1
台灣中油,D235Q,1,0,洗車機、自助投幣,1,1,1,1
台灣中油,D235R,1,0,,1,1,1,1
台灣中油,D235T,1,0,,1,1,1,0
台灣中油,D235U,0,0,洗車機,1,1,1,0
台灣中油,D235V,1,0,,1,1,1,1
台灣中油,D235X,0,0,,1,1,1,1
台灣中油,D235Y,0,1,,1,1,1,1
台灣中油,D235Z,0,1,,1,1,1,1
台灣中油,D237P,0,0,,1,1,1,1
台灣中油,D237V,0,0,,1,1,1,1
台灣中油,D237W,1,0,,1,1,1,1
台灣中油,D237Y,1,0,自助投幣式 ,1,1,1,1
台灣中油,D237Z,0,0,,1,1,1,1
台灣中油,D2386,0,0,洗車機,1,1,1,1
台灣中油,D239A,0,0,,1,1,1,1
台灣中油,D239B,0,0,,1,1,1,1
台灣中油,D4130,0,0,,0,0,0,0
台灣中油,D4140,1,1,洗車機,1,1,1,1
台灣中油,D4141,1,1,,1,1,1,0
台灣中油,D4142,1,0,,1,1,1,0
台灣中油,D4143,0,0,洗車機,1,1,1,1
台灣中油,D4144,0,0,,1,1,1,1
台灣中油,D4145,0,1,洗車機、自助投幣,1,1,1,1
台灣中油,D4146,0,0,,1,1,1,1
台灣中油,D4147,0,1,洗車機,1,1,1,1
台灣中油,D4148,1,1,洗車機,1,1,1,1
台灣中油,D4149,0,1,洗車機,1,1,1,1
台灣中油,D414A,0,0,,1,1,1,1
台灣中油,D414E,1,1,洗車機,1,1,1,1
台灣中油,D414F,0,1,洗車機,1,1,1,0
台灣中油,D414G,1,1,洗車機,1,1,1,1
台灣中油,D414H,0,0,,1,1,1,1
台灣中油,D414J,0,0,,1,1,1,1
台灣中油,D414K,0,1,,1,1,1,1
台灣中油,D414L,0,0,洗車機,1,1,1,1
台灣中油,D414M,1,0,洗車機,1,1,1,1
台灣中油,D414N,1,0,,1,1,1,1
台灣中油,D414R,0,0,,1,1,0,1
台灣中油,D414T,1,1,洗車機,1,1,1,1
台灣中油,D414U,0,0,洗車機,1,1,1,1
台灣中油,D414V,1,0,,1,1,1,1
台灣中油,D414W,0,0,自助投幣式 ,1,1,1,1
台灣中油,D414X,0,0,洗車機,1,1,1,1
台灣中油,D414Y,1,0,洗車機、自助投幣,1,1,1,1
台灣中油,D414Z,0,1,洗車機,1,1,1,1
台灣中油,D4150,0,0,,1,1,1,1
台灣中油,D4151,0,0,洗車機,1,1,1,1
台灣中油,D4152,1,0,,1,1,1,1
台灣中油,D4153,0,0,,1,1,1,1
台灣中油,D4154,1,1,洗車機,1,1,1,1
台灣中油,D4155,0,1,自助投幣式 ,1,1,1,1
台灣中油,D4156,1,0,,1,1,1,0
台灣中油,D4157,0,1,,1,1,1,1
台灣中油,D4159,1,0,,1,1,1,1
台灣中油,D415A,0,0,自助投幣式 ,1,1,1,1
台灣中油,D415E,0,0,,1,1,1,1
台灣中油,D415F,1,0,,1,1,1,1
台灣中油,D415G,0,0,,1,1,1,1
台灣中油,D415H,1,0,自助投幣式,1,1,1,1
台灣中油,D415J,0,1,自助投幣式 ,1,1,1,1
台灣中油,D415K,0,1,,1,1,1,1
台灣中油,D415L,0,0,,1,1,1,1
台灣中油,D415M,1,0,洗車機,1,1,1,1
台灣中油,D415N,0,0,自助投幣式 ,1,1,1,1
台灣中油,D415R,1,0,,1,1,1,1
台灣中油,D415T,0,1,自助投幣式 ,1,1,1,1
台灣中油,D415U,0,0,洗車機,1,1,1,1
台灣中油,D415V,1,0,洗車機,1,1,1,1
台灣中油,D415W,1,0,,1,1,1,1
台灣中油,D415X,0,1,,1,1,1,1
台灣中油,D415Y,0,0,自助投幣式 ,1,1,1,1
台灣中油,D415Z,0,1,,1,1,1,1
台灣中油,D4160,0,0,,1,1,1,1
台灣中油,D4161,0,0,洗車機,1,1,1,1
台灣中油,D4162,1,0,精緻手工,1,1,1,1
台灣中油,D4163,0,0,,1,1,1,1
台灣中油,D4164,0,0,,1,1,1,1
台灣中油,D4165,0,0,,1,1,1,1
